发震日期（北京时间）,经度(°),纬度(°),震源深度(Km),震级类型,震级,震中位置,事件类型
2020-2-05 01:55:22,27.80,39.00,9,Ms,4.7,土耳其,天然地震
2020-1-31 12:34:37,28.00,35.10,10,mB,4.8,地中海东部,天然地震
2020-1-31 09:26:46,26.70,45.70,121,mB,5.1,罗马尼亚,天然地震
2020-1-30 19:21:30,27.41,34.82,10,Ms,5.7,克里特岛,天然地震
2020-1-30 09:28:03,27.90,35.10,10,Ms,5.4,地中海东部,天然地震
2020-1-30 02:07:29,45.10,37.00,10,Ms,4.3,伊朗,天然地震
2020-1-29 21:36:52,27.25,34.82,10,Ms,4.8,克里特岛,天然地震
2020-1-29 04:37:18,45.10,33.54,42,mb,4.6,伊拉克,天然地震
2020-1-29 04:15:07,19.18,41.07,42,mb,5.1,亚得里亚海,天然地震
2020-1-28 23:38:31,27.37,34.93,36,Ms,5.4,克里特岛,天然地震
2020-1-28 23:24:34,52.10,29.50,10,Ms,4.9,伊朗南部,天然地震
2020-1-28 19:26:12,27.33,38.89,36,Ms,4.8,爱琴海,天然地震
2020-1-28 14:52:03,45.90,33.70,10,Ms,4.4,伊拉克,天然地震
2020-1-27 21:28:28,52.20,29.60,10,Ms,5.4,伊朗南部,天然地震
2020-1-26 00:30:07,39.00,38.40,7,Ms,4.9,土耳其,天然地震
2020-1-25 01:55:12,39.10,38.35,10,Ms,6.7,土耳其,天然地震
2020-1-24 15:24:16,5.60,36.80,10,Ms,5.1,阿尔及利亚,天然地震
2020-1-23 03:23:11,56.33,28.03,33,Ms,5.1,伊朗南部,天然地震
2020-1-23 03:22:15,27.40,39.14,26,Ms,5.6,爱琴海,天然地震
2020-1-19 10:52:04,20.59,38.07,14,Ms,5.2,爱奥尼亚海,天然地震
2020-1-11 21:37:31,27.48,40.60,16,Ms,5.5,土耳其,天然地震
2020-1-09 18:51:59,45.50,34.60,10,Ms,5.4,伊朗,天然地震
2020-1-08 10:20:02,51.30,29.10,10,Ms,4.9,波斯湾,天然地震
2020-1-06 14:24:25,52.50,40.38,53,Ms,4.1,里海,天然地震
2020-1-05 12:32:53,-17.60,64.80,10,Ms,4.9,冰岛,天然地震
2020-1-04 16:24:36,63.20,25.50,5,Ms,4.6,巴基斯坦西部,天然地震
2020-1-02 12:29:05,60.40,34.00,10,Ms,5.7,伊朗,天然地震
2019-12-30 21:49:44,56.54,27.69,11,Ms,5.1,伊朗南部,天然地震
2019-12-27 15:02:24,39.00,38.30,4,Ms,4.9,土耳其,天然地震
2019-12-27 09:53:11,51.40,28.80,10,Ms,4.5,波斯湾,天然地震
2019-12-22 19:27:27,48.70,32.40,10,Ms,4.9,伊朗西部,天然地震
2019-12-20 14:11:47,-30.73,59.88,8,Ms,5.0,北大西洋,天然地震
2019-12-12 11:05:37,25.91,34.86,26,Ms,5.3,克里特岛,天然地震
2019-12-11 05:58:24,26.04,35.37,62,Ms,4.9,克里特岛,天然地震
2019-12-11 04:14:01,27.90,39.50,8,Ms,4.7,土耳其,天然地震
2019-12-10 16:21:40,50.10,30.90,10,Ms,4.3,伊朗西部,天然地震
2019-12-10 06:36:28,-35.00,52.80,10,Ms,5.3,北大西洋,天然地震
2019-12-09 11:37:06,10.92,43.74,46,Ms,5.0,中部意大利,天然地震
2019-12-08 07:14:25,19.46,41.90,4,mB,4.9,亚得里亚海,天然地震
2019-11-30 01:20:14,49.90,32.00,20,Ms,4.7,伊朗西部,天然地震
2019-11-28 18:52:35,19.01,41.27,10,Ms,4.8,亚得里亚海,天然地震
2019-11-27 22:45:24,19.39,41.41,45,Ms,5.5,亚得里亚海,天然地震
2019-11-27 15:23:38,22.93,35.73,77,Ms,5.6,地中海,天然地震
2019-11-26 21:04:56,19.31,41.36,17,Ms,4.6,亚得里亚海,天然地震
2019-11-26 17:19:24,17.68,43.89,11,Ms,5.4,南斯拉夫,天然地震
2019-11-26 14:08:18,19.26,41.32,21,Ms,5.7,亚得里亚海,天然地震
2019-11-26 11:02:55,19.21,42.04,7,mb,4.9,亚得里亚海,天然地震
2019-11-26 10:59:19,18.82,41.90,17,mb,4.9,亚得里亚海,天然地震
2019-11-26 10:54:08,19.42,41.43,10,Ms,6.8,亚得里亚海,天然地震
2019-11-17 16:39:09,-4.20,32.70,10,Ms,5.0,摩洛哥,天然地震
2019-11-12 16:25:20,57.63,27.44,14,Ms,4.6,伊朗南部,天然地震
2019-11-11 18:52:45,4.58,45.15,8,Ms,5.0,法国,天然地震
2019-11-10 10:13:46,47.50,37.70,10,Ms,4.4,伊朗西北部,天然地震
2019-11-08 06:47:04,47.60,37.70,10,Ms,6.2,伊朗西北部,天然地震
2019-11-06 15:40:36,54.38,27.30,10,Ms,5.4,伊朗南部,天然地震
2019-11-01 13:25:44,20.80,40.50,8,Ms,4.4,希腊,天然地震
2019-10-31 23:43:58,54.80,26.10,10,Ms,4.2,波斯湾,天然地震
2019-10-21 18:58:45,54.37,27.16,10,Ms,5.6,伊朗南部,天然地震
2019-10-13 01:21:23,49.70,32.30,10,Ms,4.3,伊朗西部,天然地震
2019-10-06 01:01:36,-30.35,59.42,10,Ms,4.9,北大西洋,天然地震
2019-10-03 12:44:54,28.37,36.05,34,Ms,5.0,多德卡尼斯群岛,天然地震
2019-9-26 18:59:24,28.20,40.90,7,Ms,5.9,土耳其,天然地震
2019-9-24 17:02:00,49.77,31.81,45,Ms,4.5,伊朗西部,天然地震
2019-9-24 16:00:22,28.20,40.90,10,Ms,4.8,土耳其,天然地震
2019-9-24 15:48:54,25.84,33.88,29,Ms,4.9,地中海东部,天然地震
2019-9-22 06:07:27,19.40,41.40,10,Ms,4.3,亚得里亚海,天然地震
2019-9-21 22:15:46,19.06,41.04,10,Ms,5.8,亚得里亚海,天然地震
2019-9-21 22:04:22,19.48,41.22,22,Ms,5.9,亚得里亚海,天然地震
2019-9-17 21:51:28,-34.00,36.20,10,Ms,5.3,亚速尔群岛地区,天然地震
2019-9-15 05:10:50,-35.20,54.50,10,Ms,4.8,北大西洋,天然地震
2019-9-14 14:03:10,32.54,40.19,36,Ms,4.8,土耳其,天然地震
2019-9-14 14:00:29,33.00,40.70,5,Ms,4.8,土耳其,天然地震
2019-9-13 22:12:27,-28.90,43.60,10,Ms,4.9,北大西洋海岭,天然地震
2019-9-11 00:22:46,44.30,41.10,10,Ms,4.4,土耳其,天然地震
2019-9-05 19:52:05,-31.80,52.70,10,Ms,5.4,北大西洋,天然地震
2019-9-03 19:52:53,26.30,45.50,140,mB,4.7,罗马尼亚,天然地震
2019-9-03 06:45:47,-45.20,23.80,10,Ms,5.9,北大西洋海岭,天然地震
2019-8-30 21:01:33,18.00,45.19,15,Ms,4.5,克罗地亚,天然地震
2019-8-30 13:57:16,-45.40,23.80,10,Ms,5.4,北大西洋海岭,天然地震
2019-8-28 19:58:13,27.60,35.60,10,Ms,4.6,多德卡尼斯群岛,天然地震
2019-8-11 15:02:46,24.55,34.36,18,Ms,4.6,地中海,天然地震
2019-8-10 15:35:10,46.80,41.80,10,Ms,4.6,高加索东部,天然地震
2019-8-08 19:25:26,29.28,37.74,26,Ms,6.0,土耳其,天然地震
2019-8-05 03:51:16,50.80,30.60,12,Ms,4.8,伊朗,天然地震
2019-8-03 17:51:22,27.37,35.02,31,Ms,4.7,克里特岛,天然地震
2019-7-31 12:39:59,24.41,35.14,86,Ms,4.7,克里特岛,天然地震
2019-7-27 05:00:00,65.83,41.71,13,Ms,4.1,哈萨克斯坦中部,天然地震
2019-7-25 03:21:29,67.10,32.48,10,Ms,4.3,阿富汗,天然地震
2019-7-23 06:59:00,54.63,26.79,27,Ms,4.6,伊朗南部,天然地震
2019-7-19 19:13:13,23.50,38.10,13,Ms,5.2,希腊南部,天然地震
2019-7-14 18:50:11,21.80,40.20,16,mb,4.7,希腊,天然地震
2019-7-13 17:56:36,5.70,37.20,10,Ms,5.0,阿尔及利亚,天然地震
2019-7-08 15:00:29,49.50,31.80,10,Ms,5.9,伊朗西部,天然地震
2019-6-17 21:32:23,55.76,27.64,11,Ms,4.2,伊朗南部,天然地震
2019-6-05 20:33:04,51.51,40.80,41,Ms,3.8,里海,天然地震
2019-6-05 14:37:50,65.91,28.02,10,Ms,4.7,巴基斯坦,天然地震
2019-6-05 11:36:16,45.80,34.50,10,Ms,4.4,伊朗,天然地震
2019-6-01 15:00:22,20.40,40.42,10,Ms,4.8,希腊,天然地震
2019-6-01 12:33:01,20.42,40.33,10,Ms,5.0,希腊,天然地震
2019-6-01 12:26:13,20.20,40.37,10,Ms,5.0,希腊,天然地震
2019-5-30 02:40:43,63.87,40.49,7,Ms,4.2,乌兹别克,天然地震
2019-5-29 22:54:24,-39.00,34.00,10,Ms,5.1,北大西洋海岭,天然地震
2019-5-29 22:43:40,-39.00,33.80,10,Ms,5.1,北大西洋海岭,天然地震
2019-5-11 18:28:59,45.80,34.90,10,Ms,4.9,伊朗,天然地震
2019-4-29 12:43:12,27.25,35.02,31,Ms,4.5,克里特岛,天然地震
2019-4-29 10:48:49,-29.20,43.10,10,Ms,5.3,亚速尔群岛地区,天然地震
2019-4-05 01:31:10,39.10,38.40,9,Ms,5.0,土耳其,天然地震
2019-4-01 18:16:12,45.80,33.70,10,Ms,5.0,伊朗,天然地震
2019-4-01 18:07:22,45.70,33.50,10,Ms,5.1,伊朗,天然地震
2019-3-31 19:30:16,29.40,37.50,5,Ms,4.9,土耳其,天然地震
2019-3-30 18:46:17,22.30,38.30,11,Ms,5.0,希腊南部,天然地震
2019-3-20 14:34:22,29.23,37.17,11,Ms,5.5,多德卡尼斯群岛,天然地震
2019-3-17 19:49:35,20.77,38.15,11,Ms,4.6,爱奥尼亚海,天然地震
2019-3-16 14:00:03,67.37,29.86,12,Ms,4.7,巴基斯坦,天然地震
2019-3-11 02:04:56,-31.87,58.43,8,Ms,5.9,北大西洋,天然地震
2019-3-11 01:58:44,-32.30,58.60,10,Ms,5.6,北大西洋,天然地震
2019-3-11 00:23:47,-32.14,58.72,6,Ms,5.1,北大西洋,天然地震
2019-3-01 04:09:22,20.83,37.61,15,Ms,4.6,爱奥尼亚海,天然地震
2019-2-27 13:42:56,47.70,33.60,10,Ms,4.6,伊朗西部,天然地震
2019-2-21 02:23:27,26.40,39.60,8,Ms,4.9,爱琴海,天然地震
2019-2-18 17:48:46,66.90,28.60,10,Ms,4.1,巴基斯坦,天然地震
2019-2-18 03:07:41,22.90,36.50,10,Ms,5.2,希腊南部,天然地震
2019-2-16 14:45:54,-29.40,41.20,12,Ms,5.3,亚速尔群岛地区,天然地震
2019-2-15 04:43:30,-36.00,35.30,5,Ms,5.2,北大西洋海岭,天然地震
2019-2-15 03:57:03,-36.30,35.40,5,Ms,6.3,北大西洋海岭,天然地震
2019-2-13 01:14:29,33.00,40.60,7,Ms,4.4,土耳其,天然地震
2019-2-10 18:54:47,55.70,27.00,10,Ms,5.4,伊朗南部,天然地震
2019-2-10 05:26:19,49.60,31.70,5,Ms,4.6,伊朗西部,天然地震
2019-2-06 03:31:29,47.76,40.76,8,Ms,5.2,高加索东部,天然地震
2019-2-05 10:26:05,20.71,38.96,7,Ms,5.5,希腊,天然地震
2019-2-05 05:06:18,-28.56,44.68,13,Ms,4.8,北大西洋海岭,天然地震
2019-2-01 23:20:53,-28.16,45.94,11,Ms,5.0,北大西洋海岭,天然地震
2019-2-01 18:29:44,26.59,35.32,40,Ms,4.7,克里特岛,天然地震
2019-1-29 20:53:45,16.10,51.60,10,Ms,4.7,波兰,天然地震
2019-1-24 22:30:49,27.72,35.87,47,Ms,4.7,多德卡尼斯群岛,天然地震
2019-1-20 23:49:44,27.77,35.20,10,Ms,4.7,地中海东部,天然地震
2019-1-15 07:03:52,12.07,44.67,7,Ms,4.8,意大利北部,天然地震
2019-1-14 14:36:07,64.19,23.77,5,Ms,4.4,巴基斯坦海岸近海,天然地震
2019-1-11 02:24:30,25.98,34.15,10,Ms,4.8,地中海东部,天然地震
2019-1-11 01:30:12,20.60,37.30,10,Ms,5.1,地中海,天然地震
2019-1-06 22:15:07,45.60,34.00,10,Ms,4.7,伊朗,天然地震
2019-1-06 21:41:57,45.60,34.00,10,Ms,5.7,伊朗,天然地震
2019-1-06 12:48:08,51.60,28.60,10,Ms,4.3,伊朗南部,天然地震
2019-1-02 15:57:29,51.30,29.40,10,Ms,4.6,波斯湾,天然地震
2019-1-02 00:39:13,50.91,29.26,19,mB,5.1,波斯湾,天然地震
2019-1-01 19:40:02,23.70,34.35,19,Ms,5.0,地中海,天然地震
2018-12-26 10:19:14,14.84,38.15,6,Ms,5.1,西西里岛,天然地震
2018-12-20 03:35:47,21.25,36.62,20,Ms,4.8,地中海,天然地震
2018-12-19 11:38:34,-41.90,30.50,5,Ms,5.6,北大西洋海岭,天然地震
2018-12-17 18:03:34,49.50,38.50,10,mB,5.0,里海,天然地震
2018-12-17 15:12:37,67.26,30.32,13,Ms,4.2,巴基斯坦,天然地震
2018-12-14 14:17:26,-33.18,57.39,7,Ms,4.8,北大西洋,天然地震
2018-12-09 11:24:09,45.70,34.20,10,Ms,4.4,伊朗,天然地震
2018-12-01 12:54:10,19.73,39.89,13,mB,4.8,希腊,天然地震
2018-11-28 07:16:09,25.70,36.70,8,Ms,4.8,多德卡尼斯群岛,天然地震
2018-11-26 09:19:41,45.60,34.30,10,Ms,4.3,伊朗,天然地震
2018-11-26 08:38:32,45.22,34.34,19,Ms,4.9,伊拉克,天然地震
2018-11-26 07:00:45,45.60,34.20,10,Ms,4.9,伊朗,天然地震
2018-11-26 01:09:35,45.80,34.30,10,Ms,5.6,伊朗,天然地震
2018-11-26 00:37:31,45.72,34.43,10,Ms,6.4,伊朗,天然地震
2018-11-25 10:40:13,28.50,35.90,10,mB,5.1,地中海东部,天然地震
2018-11-22 10:11:49,53.60,27.25,11,Ms,4.5,伊朗南部,天然地震
2018-11-19 21:05:51,20.59,37.15,6,Ms,5.2,地中海,天然地震
2018-11-17 04:16:57,58.30,28.20,10,Ms,4.6,伊朗南部,天然地震
2018-11-16 12:48:51,67.81,36.47,10,Ms,4.6,兴都库什地区,天然地震
2018-11-15 17:02:00,20.64,37.41,11,Ms,4.9,地中海,天然地震
2018-11-13 21:47:48,19.30,42.00,10,Ms,4.6,亚得里亚海,天然地震
2018-11-12 03:26:36,65.90,27.40,10,Ms,4.3,巴基斯坦,天然地震
2018-11-06 09:17:16,43.05,42.57,23,Ms,4.5,高加索西部,天然地震
2018-11-04 11:12:42,20.62,37.81,5,Ms,4.9,爱奥尼亚海,天然地震
2018-11-02 19:32:50,-33.10,57.60,10,Ms,5.1,北大西洋,天然地震
2018-11-02 19:06:00,-33.10,57.30,10,Ms,5.4,北大西洋,天然地震
2018-11-01 12:27:37,-14.94,40.27,10,Ms,4.9,北大西洋,天然地震
2018-10-30 23:11:58,20.64,37.67,11,Ms,5.9,爱奥尼亚海,天然地震
2018-10-30 10:59:53,20.49,37.61,4,Ms,5.5,爱奥尼亚海,天然地震
2018-10-28 08:38:10,26.40,45.60,151,mB,5.6,罗马尼亚,天然地震
2018-10-26 21:56:43,20.09,38.16,10,mB,5.1,爱奥尼亚海,天然地震
2018-10-26 20:03:13,22.42,38.70,11,Ms,4.2,希腊,天然地震
2018-10-26 13:48:33,20.54,37.44,11,Ms,5.0,地中海,天然地震
2018-10-26 10:09:27,20.33,37.53,15,Ms,5.2,爱奥尼亚海,天然地震
2018-10-26 09:06:00,20.83,37.08,11,Ms,5.4,地中海,天然地震
2018-10-26 08:32:51,20.38,37.88,10,mb,4.8,爱奥尼亚海,天然地震
2018-10-26 07:09:16,20.40,36.82,10,mb,4.7,地中海,天然地震
2018-10-26 06:54:50,20.58,37.49,20,Ms,7.1,地中海,天然地震
2018-10-26 06:22:50,20.54,37.40,12,Ms,4.7,地中海,天然地震
2018-10-02 10:42:47,50.60,31.90,10,Ms,4.5,伊朗,天然地震
2018-9-30 21:15:53,25.87,34.86,86,mB,5.2,克里特岛,天然地震
2018-9-29 21:42:40,65.34,39.95,14,Ms,3.9,乌兹别克,天然地震
2018-9-27 18:21:45,20.90,36.86,13,Ms,5.2,地中海,天然地震
2018-9-23 13:22:57,52.00,29.50,10,Ms,4.2,伊朗南部,天然地震
2018-9-23 06:34:41,52.58,36.42,29,Ms,4.2,伊朗,天然地震
2018-9-17 08:24:04,26.14,34.38,17,Ms,4.5,地中海东部,天然地震
2018-9-12 14:21:45,30.43,36.02,85,Ms,4.8,地中海东部,天然地震
2018-9-11 07:02:54,30.60,37.20,106,mB,5.0,土耳其,天然地震
2018-9-10 23:07:09,27.80,37.00,9,Ms,4.4,多德卡尼斯群岛,天然地震
2018-9-07 14:23:35,59.33,28.32,13,Ms,5.6,伊朗南部,天然地震
2018-9-05 06:58:19,58.61,54.75,5,Ms,5.3,乌拉尔山脉地区,天然地震
2018-9-01 19:12:37,-28.20,44.30,10,Ms,4.8,北大西洋海岭,天然地震
2018-9-01 05:05:43,46.20,34.50,10,Ms,4.6,伊朗,天然地震
2018-8-31 15:12:21,21.66,39.37,8,Ms,5.2,希腊,天然地震
2018-8-29 13:34:36,46.40,34.50,10,mB,5.0,伊朗,天然地震
2018-8-28 20:57:13,48.90,38.80,10,Ms,4.6,伊朗西北部,天然地震
2018-8-27 20:09:00,63.06,24.94,14,Ms,4.5,巴基斯坦海岸近海,天然地震
2018-8-26 06:13:25,46.25,34.60,10,Ms,6.3,伊朗,天然地震
2018-8-23 18:52:42,54.04,26.99,5,Ms,4.9,伊朗南部,天然地震
2018-8-19 23:22:12,36.40,37.40,10,mb,4.6,土耳其,天然地震
2018-8-17 02:19:04,14.80,41.90,10,mB,5.3,意大利南部,天然地震
2018-8-15 05:48:31,14.70,41.90,10,Ms,4.6,意大利南部,天然地震
2018-8-11 23:38:30,19.75,41.42,22,Ms,5.1,阿尔巴尼亚,天然地震
2018-8-11 12:03:31,60.63,30.12,13,Ms,4.5,伊朗南部,天然地震
2018-8-11 07:00:43,54.76,36.51,10,Ms,4.0,伊朗,天然地震
2018-7-23 04:59:48,54.90,27.50,10,Ms,5.2,伊朗南部,天然地震
2018-7-23 04:39:14,57.38,30.22,15,Ms,5.7,伊朗南部,天然地震
2018-7-22 18:07:22,45.43,34.42,30,Ms,5.9,伊拉克,天然地震
2018-7-22 13:06:59,54.34,27.72,26,Ms,5.2,伊朗南部,天然地震
2018-7-20 11:31:28,15.75,51.68,12,Ms,4.7,波兰,天然地震
2018-7-20 03:33:28,66.48,30.66,17,Ms,4.3,阿富汗,天然地震
2018-7-17 11:58:32,57.03,37.53,6,Ms,5.0,伊朗,天然地震
2018-7-13 17:03:20,57.30,28.10,10,Ms,4.2,伊朗南部,天然地震
2018-7-04 17:01:02,19.32,41.41,5,Ms,5.3,亚得里亚海,天然地震
2018-6-27 06:20:29,48.13,38.46,25,Ms,4.2,伊朗西北部,天然地震
2018-6-27 01:57:04,46.20,34.60,10,Ms,4.5,伊朗,天然地震
2018-6-25 13:14:42,21.21,36.72,17,Ms,5.3,地中海,天然地震
2018-6-24 05:13:34,52.10,27.90,14,Ms,4.4,波斯湾,天然地震
2018-6-23 11:50:04,44.30,38.60,10,Ms,4.4,土耳其,天然地震
2018-6-14 00:47:21,57.31,31.24,10,Ms,4.2,伊朗,天然地震
2018-6-06 02:40:28,46.90,41.60,10,Ms,5.4,高加索东部,天然地震
2018-6-05 16:52:35,22.29,36.46,16,Ms,4.6,地中海,天然地震
2018-5-21 08:18:30,9.34,34.10,10,Ms,4.8,突尼斯,天然地震
2018-5-20 02:14:35,19.43,39.68,15,Ms,4.5,意大利南部,天然地震
2018-5-17 06:30:00,23.02,36.61,6,Ms,4.6,希腊南部,天然地震
2018-5-10 23:36:43,61.49,36.41,10,Ms,4.3,伊朗,天然地震
2018-5-07 03:57:02,51.50,30.80,10,Ms,4.8,伊朗,天然地震
2018-5-02 18:13:18,-32.20,52.60,10,Ms,5.1,北大西洋,天然地震
2018-5-02 12:08:04,50.54,30.42,10,Ms,5.4,伊朗南部,天然地震
2018-4-26 01:15:47,26.30,45.60,151,mB,4.7,罗马尼亚,天然地震
2018-4-24 08:34:28,38.50,37.60,10,Ms,5.1,土耳其,天然地震
2018-4-21 08:19:59,23.06,39.58,10,Ms,4.5,希腊,天然地震
2018-4-19 14:34:43,51.60,28.30,5,Ms,5.8,波斯湾,天然地震
2018-4-15 02:34:09,-29.30,40.70,5,Ms,5.2,亚速尔群岛地区,天然地震
2018-4-14 01:13:58,32.00,37.10,5,Ms,4.5,土耳其,天然地震
2018-4-10 23:56:18,26.20,36.70,14,Ms,4.5,多德卡尼斯群岛,天然地震
2018-4-10 11:11:30,13.00,43.56,9,Ms,4.7,中部意大利,天然地震
2018-4-01 16:35:24,45.80,34.30,10,Ms,4.8,伊朗,天然地震
2018-3-22 04:41:16,56.17,27.72,25,Ms,4.7,伊朗南部,天然地震
2018-3-20 03:32:21,50.40,30.70,10,Ms,4.7,伊朗西部,天然地震
2018-3-19 12:30:44,50.70,29.60,5,Ms,4.9,伊朗南部,天然地震
2018-3-16 15:24:15,56.26,31.87,21,Ms,4.3,伊朗,天然地震
2018-3-12 20:35:22,23.14,34.42,18,Ms,4.5,地中海,天然地震
2018-3-12 15:35:30,57.50,28.10,10,Ms,4.6,伊朗南部,天然地震
2018-3-07 22:46:05,57.04,28.05,30,Ms,4.9,伊朗南部,天然地震
2018-2-22 07:44:52,20.38,37.82,15,Ms,4.9,爱奥尼亚海,天然地震
2018-2-05 17:29:46,-35.63,54.00,8,Ms,5.0,北大西洋,天然地震
2018-2-02 14:23:52,-36.02,53.13,12,Ms,5.0,北大西洋,天然地震
2018-1-31 12:58:42,66.17,26.38,10,Ms,4.5,巴基斯坦,天然地震
2018-1-20 06:17:53,45.70,33.50,10,Ms,4.6,伊朗,天然地震
2018-1-11 17:50:10,-30.71,59.26,11,Ms,5.2,北大西洋,天然地震
2018-1-11 17:46:04,-30.99,59.25,9,Ms,5.2,北大西洋,天然地震
2018-1-11 16:00:39,45.80,33.70,10,Ms,5.2,伊朗,天然地震
2018-1-11 15:54:59,45.80,33.70,10,Ms,5.0,伊朗,天然地震
2018-1-11 15:21:35,45.99,32.80,10,Ms,5.3,伊拉克,天然地震
2018-1-11 15:14:15,45.80,33.80,10,Ms,5.4,伊朗,天然地震
2018-1-11 15:00:50,45.80,33.80,10,Ms,5.6,伊朗,天然地震
2018-1-11 14:59:30,45.70,33.70,10,Ms,5.7,伊朗,天然地震
2018-1-11 11:18:27,57.08,30.78,15,Ms,4.7,伊朗,天然地震
2018-1-06 23:22:09,46.10,34.40,10,Ms,4.8,伊朗,天然地震
2018-1-04 18:46:08,19.73,42.81,5,Ms,5.0,南斯拉夫,天然地震
2018-1-03 04:59:38,2.68,36.81,10,Ms,5.1,阿尔及利亚,天然地震
2018-1-02 12:24:15,22.90,41.20,8,Ms,4.8,希腊,天然地震
2017-12-31 12:02:08,22.03,37.83,4,Ms,4.7,希腊南部,天然地震
2017-12-31 04:53:22,52.00,29.40,5,Ms,4.5,伊朗南部,天然地震
2017-12-28 02:01:13,57.05,30.61,22,Ms,4.7,伊朗,天然地震
2017-12-22 01:04:44,56.00,31.42,14,Ms,5.2,伊朗,天然地震
2017-12-21 03:57:37,51.00,35.70,7,Ms,4.6,伊朗,天然地震
2017-12-17 00:57:01,26.05,34.14,18,Ms,4.4,地中海东部,天然地震
2017-12-13 15:30:01,23.37,34.71,40,Ms,4.4,地中海,天然地震
2017-12-13 05:49:38,56.74,30.78,27,Ms,5.6,伊朗,天然地震
2017-12-13 05:41:31,57.25,30.80,10,Ms,6.4,伊朗,天然地震
2017-12-12 16:43:17,57.30,30.75,10,Ms,6.1,伊朗,天然地震
2017-12-11 22:09:56,45.80,34.90,10,Ms,5.4,伊朗,天然地震
2017-12-07 07:42:00,66.21,27.62,10,Ms,5.4,巴基斯坦,天然地震
2017-12-05 15:26:42,52.00,27.90,10,Ms,4.6,波斯湾,天然地震
2017-12-02 18:47:02,57.18,30.71,21,Ms,5.0,伊朗,天然地震
2017-12-01 11:34:58,57.09,30.75,13,Ms,5.3,伊朗,天然地震
2017-12-01 10:43:26,57.40,30.70,10,mB,5.6,伊朗,天然地震
2017-12-01 10:32:43,57.36,30.75,10,Ms,6.3,伊朗,天然地震
2017-11-25 05:49:12,28.53,37.06,6,Ms,5.1,多德卡尼斯群岛,天然地震
2017-11-23 04:22:50,28.60,37.10,5,Ms,4.8,多德卡尼斯群岛,天然地震
2017-11-20 23:23:34,45.85,32.39,20,Ms,4.8,伊拉克,天然地震
2017-11-16 03:48:04,47.30,40.30,25,Ms,5.0,伊朗西北部,天然地震
2017-11-13 02:18:16,45.77,34.92,20,Ms,7.7,伊拉克,天然地震
2017-11-08 02:58:51,66.50,29.40,10,Ms,4.6,巴基斯坦,天然地震
2017-10-29 02:59:30,-36.07,55.26,6,mB,5.4,北大西洋,天然地震
2017-10-23 08:24:14,56.82,28.15,32,Ms,5.1,伊朗南部,天然地震
2017-10-18 22:37:17,54.80,31.20,10,Ms,4.8,伊朗,天然地震
2017-10-12 06:49:42,24.20,39.10,7,Ms,4.8,希腊,天然地震
2017-10-05 18:11:07,49.20,31.30,10,Ms,4.3,伊朗,天然地震
2017-9-27 12:09:51,-43.90,28.88,19,Ms,4.9,北大西洋海岭,天然地震
2017-9-20 08:08:11,57.01,30.66,10,Ms,4.8,伊朗,天然地震
2017-9-19 21:26:10,54.00,27.90,10,Ms,4.6,伊朗南部,天然地震
2017-9-13 07:10:32,-32.71,58.09,11,Ms,4.9,北大西洋,天然地震
2017-9-13 05:04:02,-32.96,57.67,17,Ms,4.9,北大西洋,天然地震
2017-9-12 00:20:07,20.88,38.67,12,Ms,4.7,希腊,天然地震
2017-9-11 05:40:19,-33.93,57.49,11,Ms,5.6,北大西洋,天然地震
2017-9-06 06:20:33,58.91,32.79,15,Ms,4.3,伊朗,天然地震
2017-9-03 20:49:00,51.70,29.00,10,Ms,4.7,伊朗南部,天然地震
2017-9-02 00:48:29,27.54,35.57,86,Ms,4.2,多德卡尼斯群岛,天然地震
2017-9-01 19:07:35,-34.26,57.25,11,Ms,5.3,北大西洋,天然地震
2017-9-01 18:59:39,-34.17,57.19,14,Ms,5.1,北大西洋,天然地震
2017-8-31 09:30:24,57.00,27.90,5,Ms,5.0,伊朗南部,天然地震
2017-8-30 22:20:02,-29.69,39.91,5,Ms,5.4,亚速尔群岛,天然地震
2017-8-28 07:14:51,47.20,37.90,10,Ms,4.7,伊朗西北部,天然地震
2017-8-23 21:42:52,44.90,36.10,10,Ms,4.9,伊拉克,天然地震
2017-8-18 18:18:41,46.10,31.70,10,Ms,4.2,伊拉克,天然地震
2017-8-16 23:53:23,24.02,36.56,106,mB,4.9,希腊南部,天然地震
2017-8-16 10:27:26,-28.66,45.19,19,Ms,5.1,北大西洋海岭,天然地震
2017-8-14 08:29:02,-27.77,48.75,8,Ms,5.1,北大西洋海岭,天然地震
2017-8-13 19:16:49,27.44,36.95,5,Ms,4.6,多德卡尼斯群岛,天然地震
2017-8-08 15:42:19,27.16,36.74,26,Ms,4.9,多德卡尼斯群岛,天然地震
2017-8-01 05:29:09,23.94,34.30,25,Ms,4.9,地中海,天然地震
2017-7-30 23:37:38,50.70,31.80,5,Ms,4.9,伊朗,天然地震
2017-7-24 01:32:15,57.24,30.27,42,Ms,5.2,伊朗南部,天然地震
2017-7-22 01:09:48,27.30,36.90,10,Ms,4.6,多德卡尼斯群岛,天然地震
2017-7-21 10:12:33,27.40,36.90,10,mB,5.0,多德卡尼斯群岛,天然地震
2017-7-21 06:31:07,27.22,36.77,16,Ms,6.9,多德卡尼斯群岛,天然地震
2017-7-16 04:30:16,25.55,34.97,13,Ms,5.1,克里特岛,天然地震
