发震日期（北京时间）,经度(°),纬度(°),震源深度(Km),震级类型,震级,震中位置,事件类型
2021-8-12 20:24:00,57.13,28.26,10,Ms,4.3,伊朗南部,天然地震
2021-8-11 15:01:05,63.57,40.47,10,Ms,4.2,乌兹别克,天然地震
2021-8-07 09:39:39,26.73,36.00,12,Ms,4.7,克里特岛,天然地震
2021-8-03 20:38:19,26.71,36.32,55,Ms,5.0,克里特岛,天然地震
2021-8-01 21:03:08,-25.40,62.90,10,Ms,4.7,冰岛地区,天然地震
2021-8-01 18:40:25,-25.20,62.70,10,Ms,5.1,冰岛地区,天然地震
2021-8-01 12:31:20,26.40,36.15,14,Ms,5.6,克里特岛,天然地震
2021-8-01 09:25:53,-25.09,63.26,10,Ms,5.1,冰岛地区,天然地震
2021-8-01 08:55:31,-25.10,62.90,10,Ms,4.8,冰岛地区,天然地震
2021-8-01 08:51:10,-25.20,62.80,10,Ms,4.8,冰岛地区,天然地震
2021-8-01 08:33:41,-25.20,62.90,10,Ms,4.7,冰岛地区,天然地震
2021-7-24 10:07:36,25.20,35.10,10,Ms,4.5,克里特岛,天然地震
2021-7-23 00:49:35,20.70,39.80,20,Ms,4.3,希腊,天然地震
2021-7-22 22:16:21,27.00,36.40,8,Ms,4.1,克里特岛,天然地震
2021-7-18 22:34:18,51.20,29.60,10,Ms,5.6,伊朗南部,天然地震
2021-7-13 19:11:49,50.90,29.80,6,Ms,4.5,伊朗南部,天然地震
2021-7-09 23:41:19,45.40,36.80,10,mB,4.9,伊朗,天然地震
2021-7-06 20:44:05,59.54,27.03,10,Ms,4.2,伊朗南部,天然地震
2021-7-06 19:44:32,53.19,27.89,6,Ms,4.3,伊朗南部,天然地震
2021-6-26 02:28:33,39.50,39.13,16,Ms,5.2,土耳其,天然地震
2021-6-22 06:14:08,26.56,36.07,11,Ms,5.5,克里特岛,天然地震
2021-6-19 00:51:26,28.10,35.70,72,mB,4.7,多德卡尼斯群岛,天然地震
2021-6-06 12:54:23,46.10,33.40,10,Ms,4.6,伊拉克,天然地震
2021-6-05 09:31:41,-32.94,58.16,10,Ms,4.8,北大西洋,天然地震
2021-6-04 09:05:19,24.56,34.69,10,mB,5.2,克里特岛,天然地震
2021-6-01 23:56:12,22.10,39.80,11,Ms,4.4,希腊,天然地震
2021-5-29 04:35:49,50.70,29.70,10,Ms,4.7,伊朗南部,天然地震
2021-5-28 11:58:07,66.73,28.01,9,Ms,4.5,巴基斯坦,天然地震
2021-5-27 16:54:34,66.45,30.57,9,Ms,4.9,阿富汗,天然地震
2021-5-21 19:52:17,50.50,29.70,10,Ms,4.8,伊朗南部,天然地震
2021-5-18 12:12:37,-30.60,59.30,10,Ms,5.0,北大西洋,天然地震
2021-5-17 08:54:01,56.97,37.43,8,Ms,5.6,伊朗,天然地震
2021-5-17 07:04:56,56.90,37.41,12,Ms,5.5,伊朗,天然地震
2021-5-17 01:32:49,52.10,27.80,13,Ms,4.1,波斯湾,天然地震
2021-5-13 00:26:14,50.70,29.70,10,mB,5.1,伊朗南部,天然地震
2021-5-12 05:31:00,21.10,40.50,10,Ms,4.6,希腊边境地区,天然地震
2021-4-26 18:09:55,46.00,34.50,10,Ms,4.3,伊朗,天然地震
2021-4-19 06:17:43,50.60,29.60,10,Ms,4.7,伊朗南部,天然地震
2021-4-18 23:17:17,-26.70,61.90,10,Ms,5.2,冰岛地区,天然地震
2021-4-18 14:41:47,50.60,29.70,10,Ms,6.2,伊朗南部,天然地震
2021-4-18 01:07:59,27.20,36.50,11,Ms,4.7,多德卡尼斯群岛,天然地震
2021-4-14 04:28:02,27.20,36.50,10,Ms,5.2,多德卡尼斯群岛,天然地震
2021-4-06 23:12:26,46.00,35.70,10,Ms,5.0,伊朗,天然地震
2021-4-05 19:33:26,54.73,39.49,13,Ms,4.6,土库曼,天然地震
2021-4-03 14:10:11,22.51,35.18,47,Ms,4.3,地中海,天然地震
2021-4-01 22:33:32,7.20,36.50,10,Ms,4.5,阿尔及利亚,天然地震
2021-3-29 07:01:43,-29.32,43.57,14,Ms,5.7,北大西洋海岭,天然地震
2021-3-27 21:47:54,16.40,42.70,10,Ms,5.7,亚得里亚海,天然地震
2021-3-20 09:49:13,-27.82,47.26,5,Ms,5.9,北大西洋海岭,天然地震
2021-3-18 08:17:04,5.30,37.00,10,Ms,5.7,阿尔及利亚,天然地震
2021-3-18 08:04:06,5.20,36.90,10,Ms,6.1,阿尔及利亚,天然地震
2021-3-15 23:43:34,22.10,39.80,7,Ms,4.8,希腊,天然地震
2021-3-14 22:15:24,-22.30,64.00,5,Ms,5.6,冰岛地区,天然地震
2021-3-14 20:54:07,56.43,28.18,56,Ms,5.0,伊朗南部,天然地震
2021-3-12 20:57:43,21.40,39.53,7,Ms,5.5,希腊,天然地震
2021-3-11 04:30:12,57.73,34.11,10,Ms,4.4,伊朗,天然地震
2021-3-10 11:14:38,-22.93,64.32,5,Ms,5.1,冰岛地区,天然地震
2021-3-09 12:30:26,25.50,34.14,10,Ms,4.6,地中海东部,天然地震
2021-3-07 10:01:28,-22.20,64.00,10,Ms,5.3,冰岛地区,天然地震
2021-3-05 03:23:45,21.47,39.57,9,mb,5.1,希腊,天然地震
2021-3-05 02:38:16,22.10,39.78,10,Ms,6.4,希腊,天然地震
2021-3-04 02:24:05,22.10,39.70,6,Ms,5.0,希腊,天然地震
2021-3-03 19:45:45,22.20,39.70,8,Ms,5.1,希腊,天然地震
2021-3-03 19:35:48,21.49,39.35,6,Ms,5.1,希腊,天然地震
2021-3-03 18:33:58,21.29,39.23,6,mB,5.4,希腊,天然地震
2021-3-03 18:16:08,22.11,39.74,10,Ms,6.5,希腊,天然地震
2021-2-27 16:07:45,-22.20,64.00,10,Ms,5.3,冰岛地区,天然地震
2021-2-27 06:38:46,-21.90,64.10,10,Ms,5.0,冰岛地区,天然地震
2021-2-24 18:05:58,-22.41,64.20,9,Ms,5.8,冰岛地区,天然地震
2021-2-24 16:53:30,51.40,30.90,10,Ms,4.4,伊朗,天然地震
2021-2-24 09:51:03,5.20,35.60,10,mB,5.1,阿尔及利亚,天然地震
2021-2-18 02:35:35,51.50,30.90,10,Ms,5.3,伊朗,天然地震
2021-2-17 11:36:03,21.80,38.36,11,Ms,5.3,希腊南部,天然地震
2021-2-13 19:29:21,44.50,40.00,10,Ms,4.5,土耳其,天然地震
2021-2-12 11:37:53,32.88,41.29,33,Ms,4.7,土耳其,天然地震
2021-2-12 06:10:28,44.70,34.46,10,Ms,4.4,伊拉克,天然地震
2021-2-05 23:36:06,44.81,40.39,10,Ms,4.9,高加索地区,天然地震
2021-2-01 21:10:14,26.00,39.00,10,mB,5.3,爱琴海,天然地震
2021-2-01 16:35:14,25.80,38.98,16,Ms,5.0,爱琴海,天然地震
2021-2-01 13:59:58,25.28,38.65,16,Ms,4.8,爱琴海,天然地震
2021-2-01 13:47:51,26.00,39.00,10,Ms,4.7,爱琴海,天然地震
2021-2-01 13:46:46,25.51,38.73,10,Ms,4.7,爱琴海,天然地震
2021-2-01 06:05:57,57.30,28.00,10,Ms,4.3,伊朗南部,天然地震
2021-2-01 00:04:30,56.38,28.20,24,Ms,4.7,伊朗南部,天然地震
2021-1-26 19:17:39,40.80,35.90,26,Ms,4.8,叙利亚,天然地震
2021-1-22 13:03:39,-27.44,48.16,10,Ms,4.8,北大西洋海岭,天然地震
2021-1-22 09:31:25,-28.11,47.08,10,Ms,4.9,北大西洋海岭,天然地震
2021-1-21 22:26:59,33.12,34.69,60,mB,5.2,塞浦路斯,天然地震
2021-1-21 07:37:55,26.80,37.90,10,mB,4.9,多德卡尼斯群岛,天然地震
2021-1-18 12:23:11,26.30,35.70,10,mB,5.0,克里特岛,天然地震
2021-1-17 10:50:13,54.93,26.91,12,Ms,4.1,伊朗南部,天然地震
2021-1-16 05:31:03,55.22,27.16,6,Ms,5.4,伊朗南部,天然地震
2021-1-13 06:56:45,21.49,38.86,12,Ms,4.5,希腊,天然地震
2021-1-13 06:29:35,21.36,38.89,13,mB,4.9,希腊,天然地震
2021-1-13 06:09:54,21.65,38.23,26,Ms,4.9,希腊南部,天然地震
2021-1-11 20:46:59,-29.40,38.80,10,Ms,5.5,亚速尔群岛,天然地震
2021-1-07 17:17:10,-27.20,46.80,10,mB,5.2,北大西洋海岭,天然地震
2021-1-07 01:01:38,16.20,45.40,8,Ms,5.2,克罗地亚,天然地震
2021-1-04 14:49:51,16.20,45.40,5,Ms,4.5,克罗地亚,天然地震
2021-1-02 09:05:51,48.00,42.10,10,Ms,4.4,高加索东部,天然地震
2020-12-29 19:19:53,16.21,45.45,10,Ms,6.9,南斯拉夫,天然地震
2020-12-29 16:06:04,23.64,34.66,12,mB,5.4,克里特岛,天然地震
2020-12-28 14:49:56,16.30,45.40,10,Ms,5.0,克罗地亚,天然地震
2020-12-28 13:28:04,15.69,45.35,22,Ms,5.3,克罗地亚,天然地震
2020-12-27 14:37:26,38.53,38.24,8,Ms,5.7,土耳其,天然地震
2020-12-23 22:58:20,21.60,38.36,18,Ms,4.9,希腊南部,天然地震
2020-12-17 21:36:44,26.30,35.60,20,mB,5.1,克里特岛,天然地震
2020-12-15 05:58:45,43.50,38.90,9,Ms,4.6,土耳其,天然地震
2020-12-13 13:48:01,56.10,39.48,10,Ms,4.4,伊朗,天然地震
2020-12-13 05:29:49,45.31,43.08,38,Ms,4.8,高加索西部,天然地震
2020-12-12 04:47:51,53.76,27.24,20,mB,4.9,伊朗南部,天然地震
2020-12-08 16:03:21,-35.40,54.50,10,Ms,4.8,北大西洋,天然地震
2020-12-06 15:19:40,19.40,41.60,8,Ms,4.5,亚得里亚海,天然地震
2020-12-06 08:27:23,66.73,38.11,6,Ms,4.1,阿富汗,天然地震
2020-12-05 20:44:38,31.80,36.00,98,mB,5.5,塞浦路斯,天然地震
2020-12-03 13:45:19,41.70,38.00,14,Ms,4.8,土耳其,天然地震
2020-11-30 21:58:23,63.42,40.66,2,Ms,4.0,乌兹别克斯坦,天然地震
2020-11-29 12:24:25,54.10,27.40,10,Ms,4.2,伊朗南部,天然地震
2020-11-27 16:27:55,38.60,38.20,8,Ms,4.4,土耳其,天然地震
2020-11-26 04:11:39,56.30,38.29,3,Ms,5.1,伊朗,天然地震
2020-11-22 11:53:07,6.85,37.23,12,Ms,5.2,阿尔及利亚,天然地震
2020-11-14 10:56:55,67.51,30.67,10,Ms,5.7,巴基斯坦,天然地震
2020-11-11 22:56:23,47.70,28.90,10,Ms,4.1,阿拉伯半岛东部,天然地震
2020-11-11 22:25:13,20.70,41.70,10,Ms,4.8,阿尔巴尼亚,天然地震
2020-11-11 14:49:43,26.90,37.80,13,mB,5.1,多德卡尼斯群岛,天然地震
2020-11-11 11:54:07,20.19,41.02,10,Ms,5.0,阿尔巴尼亚,天然地震
2020-11-10 07:18:18,44.46,34.88,10,Ms,4.3,伊拉克,天然地震
2020-11-06 06:16:27,23.90,39.90,24,mB,5.0,爱琴海,天然地震
2020-11-05 18:39:27,49.00,31.90,5,mb,4.6,伊朗西部,天然地震
2020-11-02 07:09:33,21.60,38.90,17,mB,5.3,希腊,天然地震
2020-10-31 13:31:23,26.06,37.59,7,Ms,4.7,希腊佐泽卡尼索斯群岛,天然地震
2020-10-30 23:14:54,26.80,37.80,5,Ms,5.1,希腊佐泽卡尼索斯群岛,天然地震
